="",="(1)",=""
="",="growthwdi",=""
="udel_temp_popweight",="0.0159***",="(4.84)"
="udel_temp_popweight_2",="-0.000576***",="(-5.40)"
="udel_precip_popweight",="0.0000139",="(1.24)"
="udel_precip_popweight_2",="-3.50e-09",="(-1.19)"
="1961.year",="0",="(.)"
="1962.year",="0.0128",="(1.39)"
="1963.year",="0.00859",="(0.89)"
="1964.year",="0.0220*",="(2.19)"
="1965.year",="0.00539",="(0.50)"
="1966.year",="-0.00707",="(-0.63)"
="1967.year",="-0.00280",="(-0.24)"
="1968.year",="0.000801",="(0.06)"
="1969.year",="0.00892",="(0.66)"
="1970.year",="0.00526",="(0.37)"
="1971.year",="-0.00459",="(-0.31)"
="1972.year",="0.00418",="(0.27)"
="1973.year",="-0.00630",="(-0.38)"
="1974.year",="0.00338",="(0.20)"
="1975.year",="-0.0311",="(-1.76)"
="1976.year",="0.000590",="(0.03)"
="1977.year",="-0.0131",="(-0.69)"
="1978.year",="-0.0127",="(-0.66)"
="1979.year",="-0.0191",="(-0.96)"
="1980.year",="-0.0250",="(-1.24)"
="1981.year",="-0.0170",="(-0.83)"
="1982.year",="-0.0422*",="(-2.02)"
="1983.year",="-0.0274",="(-1.29)"
="1984.year",="-0.0184",="(-0.86)"
="1985.year",="-0.0162",="(-0.75)"
="1986.year",="-0.0203",="(-0.93)"
="1987.year",="-0.0143",="(-0.65)"
="1988.year",="-0.00125",="(-0.06)"
="1989.year",="-0.0353",="(-1.60)"
="1990.year",="-0.0220",="(-1.00)"
="1991.year",="-0.0226",="(-1.03)"
="1992.year",="-0.0446*",="(-2.04)"
="1993.year",="-0.0297",="(-1.36)"
="1994.year",="-0.0194",="(-0.89)"
="1995.year",="0.000642",="(0.03)"
="1996.year",="0.0194",="(0.91)"
="1997.year",="0.0252",="(1.19)"
="1998.year",="0.00816",="(0.39)"
="1999.year",="0.00189",="(0.09)"
="2000.year",="0.0120",="(0.59)"
="2001.year",="0.0225",="(1.11)"
="2002.year",="0.0170",="(0.84)"
="2003.year",="0.0279",="(1.40)"
="2004.year",="0.0476*",="(2.40)"
="2005.year",="0.0479*",="(2.42)"
="2006.year",="0.0491*",="(2.49)"
="2007.year",="0.0548**",="(2.77)"
="2008.year",="0.0349",="(1.75)"
="2009.year",="0.00142",="(0.07)"
="2010.year",="0.0526*",="(2.55)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.0576",="(-0.14)"
="_yi_isoxtim_4",="0",="(.)"
="_yi_isoxtim_5",="0",="(.)"
="_yi_isoxtim_6",="0.0144*",="(2.00)"
="_yi_isoxtim_7",="0.00129",="(0.41)"
="_yi_isoxtim_8",="0.231***",="(9.30)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="0.00390",="(1.39)"
="_yi_isoxtim_11",="0",="(.)"
="_yi_isoxtim_12",="0.148***",="(6.04)"
="_yi_isoxtim_13",="0.00364",="(1.25)"
="_yi_isoxtim_14",="0.00272",="(1.32)"
="_yi_isoxtim_15",="0.00345",="(1.53)"
="_yi_isoxtim_16",="0.00362",="(1.33)"
="_yi_isoxtim_17",="0.00307",="(1.12)"
="_yi_isoxtim_18",="-0.00972",="(-0.88)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="0",="(.)"
="_yi_isoxtim_21",="-0.304***",="(-4.79)"
="_yi_isoxtim_22",="0",="(.)"
="_yi_isoxtim_23",="0",="(.)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="0",="(.)"
="_yi_isoxtim_26",="0",="(.)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="0",="(.)"
="_yi_isoxtim_29",="0",="(.)"
="_yi_isoxtim_30",="0",="(.)"
="_yi_isoxtim_31",="0",="(.)"
="_yi_isoxtim_32",="0.00262",="(0.96)"
="_yi_isoxtim_33",="0.00494",="(1.00)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0.00608*",="(2.12)"
="_yi_isoxtim_36",="0.0107***",="(3.88)"
="_yi_isoxtim_37",="-0.00197",="(-0.68)"
="_yi_isoxtim_38",="0",="(.)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="0",="(.)"
="_yi_isoxtim_41",="0",="(.)"
="_yi_isoxtim_42",="0",="(.)"
="_yi_isoxtim_43",="0.0155",="(1.39)"
="_yi_isoxtim_44",="0.00375",="(1.35)"
="_yi_isoxtim_45",="-0.00580",="(-1.20)"
