="",="(1)",=""
="",="growthwdi",=""
="temp",="0.0128**",="(3.20)"
="c.temp#c.temp",="-0.000499***",="(-3.97)"
="udel_precip_popweight",="0.0000136",="(1.32)"
="udel_precip_popweight_2",="-4.09e-09",="(-1.54)"
="1961.year",="0",="(.)"
="1962.year",="0.00600",="(0.63)"
="1963.year",="0.00567",="(0.60)"
="1964.year",="0.0220***",="(3.44)"
="1965.year",="0.0184*",="(2.27)"
="1966.year",="0.00808",="(1.08)"
="1967.year",="0.0105",="(1.09)"
="1968.year",="0.0205*",="(2.16)"
="1969.year",="0.0288***",="(3.73)"
="1970.year",="0.0323***",="(3.82)"
="1971.year",="0.0151*",="(2.17)"
="1972.year",="0.0236**",="(2.91)"
="1973.year",="0.0208*",="(2.40)"
="1974.year",="0.0199*",="(2.60)"
="1975.year",="-0.00617",="(-0.74)"
="1976.year",="0.0255***",="(3.46)"
="1977.year",="0.0114",="(1.41)"
="1978.year",="0.0124",="(1.56)"
="1979.year",="0.0151",="(1.97)"
="1980.year",="-0.00165",="(-0.21)"
="1981.year",="0.00225",="(0.27)"
="1982.year",="-0.0186*",="(-2.54)"
="1983.year",="-0.0137",="(-1.74)"
="1984.year",="-0.00241",="(-0.34)"
="1985.year",="-0.00490",="(-0.67)"
="1986.year",="-0.00389",="(-0.56)"
="1987.year",="-0.00101",="(-0.13)"
="1988.year",="0.00408",="(0.58)"
="1989.year",="-0.0106",="(-1.35)"
="1990.year",="-0.0147",="(-1.76)"
="1991.year",="-0.0236**",="(-2.99)"
="1992.year",="-0.0413***",="(-4.46)"
="1993.year",="-0.0341***",="(-4.81)"
="1994.year",="-0.0244**",="(-3.04)"
="1995.year",="-0.00600",="(-0.90)"
="1996.year",="0.00190",="(0.28)"
="1997.year",="0.000262",="(0.03)"
="1998.year",="-0.0159*",="(-2.15)"
="1999.year",="-0.0237***",="(-3.60)"
="2000.year",="-0.0184**",="(-2.77)"
="2001.year",="-0.0231**",="(-3.27)"
="2002.year",="-0.0299***",="(-4.12)"
="2003.year",="-0.0292***",="(-4.00)"
="2004.year",="-0.0120",="(-1.67)"
="2005.year",="-0.0212**",="(-3.22)"
="2006.year",="-0.0200**",="(-3.19)"
="2007.year",="-0.0254***",="(-3.85)"
="2008.year",="-0.0466***",="(-6.83)"
="2009.year",="-0.0866***",="(-11.38)"
="2010.year",="-0.0463***",="(-6.14)"
="_yi_isoxtim_2",="0",="(.)"
="_yi_isoxtim_3",="-0.0779**",="(-2.74)"
="_yi_isoxtim_4",="-0.0126***",="(-6.36)"
="_yi_isoxtim_5",="-0.00341**",="(-2.67)"
="_yi_isoxtim_6",="0.0107***",="(11.95)"
="_yi_isoxtim_7",="-0.00262***",="(-14.40)"
="_yi_isoxtim_8",="0.230***",="(40.42)"
="_yi_isoxtim_9",="0",="(.)"
="_yi_isoxtim_10",="-0.0000597",="(-0.58)"
="_yi_isoxtim_11",="-0.000753***",="(-7.15)"
="_yi_isoxtim_12",="0.146***",="(25.79)"
="_yi_isoxtim_13",="-0.000299",="(-1.51)"
="_yi_isoxtim_14",="-0.00115***",="(-15.05)"
="_yi_isoxtim_15",="-0.000440*",="(-2.16)"
="_yi_isoxtim_16",="-0.000315*",="(-2.34)"
="_yi_isoxtim_17",="-0.000841***",="(-13.16)"
="_yi_isoxtim_18",="-0.0148***",="(-11.32)"
="_yi_isoxtim_19",="0",="(.)"
="_yi_isoxtim_20",="-0.0000463",="(-0.30)"
="_yi_isoxtim_21",="-0.302***",="(-50.01)"
="_yi_isoxtim_22",="0.0611***",="(10.91)"
="_yi_isoxtim_23",="0.00263***",="(19.61)"
="_yi_isoxtim_24",="0",="(.)"
="_yi_isoxtim_25",="-0.00305***",="(-36.13)"
="_yi_isoxtim_26",="-0.00231***",="(-42.60)"
="_yi_isoxtim_27",="0",="(.)"
="_yi_isoxtim_28",="-0.00447***",="(-3.45)"
="_yi_isoxtim_29",="-0.00906***",="(-6.95)"
="_yi_isoxtim_30",="0.00198***",="(14.89)"
="_yi_isoxtim_31",="-0.00346***",="(-23.14)"
="_yi_isoxtim_32",="-0.00125***",="(-18.24)"
="_yi_isoxtim_33",="0.000972*",="(2.08)"
="_yi_isoxtim_34",="0",="(.)"
="_yi_isoxtim_35",="0.00207***",="(19.11)"
="_yi_isoxtim_36",="0.00675***",="(149.36)"
="_yi_isoxtim_37",="-0.00597***",="(-30.35)"
="_yi_isoxtim_38",="-0.0000647",="(-0.44)"
="_yi_isoxtim_39",="0",="(.)"
="_yi_isoxtim_40",="-0.000924***",="(-16.68)"
