,Country,Year,Unweighted_Precipitation
0,ABW,1900,
1,ABW,1901,
2,ABW,1902,
3,ABW,1903,
4,ABW,1904,
5,ABW,1905,
6,ABW,1906,
7,ABW,1907,
8,ABW,1908,
9,ABW,1909,
10,ABW,1910,
11,ABW,1911,
12,ABW,1912,
13,ABW,1913,
14,ABW,1914,
15,ABW,1915,
16,ABW,1916,
17,ABW,1917,
18,ABW,1918,
19,ABW,1919,
20,ABW,1920,
21,ABW,1921,
22,ABW,1922,
23,ABW,1923,
24,ABW,1924,
25,ABW,1925,
26,ABW,1926,
27,ABW,1927,
28,ABW,1928,
29,ABW,1929,
30,ABW,1930,
31,ABW,1931,
32,ABW,1932,
33,ABW,1933,
34,ABW,1934,
35,ABW,1935,
36,ABW,1936,
37,ABW,1937,
38,ABW,1938,
39,ABW,1939,
40,ABW,1940,
41,ABW,1941,
42,ABW,1942,
43,ABW,1943,
44,ABW,1944,
45,ABW,1945,
46,ABW,1946,
47,ABW,1947,
48,ABW,1948,
49,ABW,1949,
50,ABW,1950,
51,ABW,1951,
52,ABW,1952,
53,ABW,1953,
54,ABW,1954,
55,ABW,1955,
56,ABW,1956,
57,ABW,1957,
58,ABW,1958,
59,ABW,1959,
60,ABW,1960,
61,ABW,1961,
62,ABW,1962,
63,ABW,1963,
64,ABW,1964,
65,ABW,1965,
66,ABW,1966,
67,ABW,1967,
68,ABW,1968,
69,ABW,1969,
70,ABW,1970,
71,ABW,1971,
72,ABW,1972,
73,ABW,1973,
74,ABW,1974,
75,ABW,1975,
76,ABW,1976,
77,ABW,1977,
78,ABW,1978,
79,ABW,1979,
80,ABW,1980,
81,ABW,1981,
82,ABW,1982,
83,ABW,1983,
84,ABW,1984,
85,ABW,1985,
86,ABW,1986,
87,ABW,1987,
88,ABW,1988,
89,ABW,1989,
90,ABW,1990,
91,ABW,1991,
92,ABW,1992,
93,ABW,1993,
94,ABW,1994,
95,ABW,1995,
96,ABW,1996,
97,ABW,1997,
98,ABW,1998,
99,ABW,1999,
100,ABW,2000,
101,ABW,2001,
102,ABW,2002,
103,ABW,2003,
104,ABW,2004,
105,ABW,2005,
106,ABW,2006,
107,ABW,2007,
108,ABW,2008,
109,ABW,2009,
110,ABW,2010,
111,ABW,2011,
112,ABW,2012,
113,ABW,2013,
114,ABW,2014,
115,ATG,1900,
116,ATG,1901,
117,ATG,1902,
118,ATG,1903,
119,ATG,1904,
120,ATG,1905,
121,ATG,1906,
122,ATG,1907,
123,ATG,1908,
124,ATG,1909,
125,ATG,1910,
126,ATG,1911,
127,ATG,1912,
128,ATG,1913,
129,ATG,1914,
130,ATG,1915,
131,ATG,1916,
132,ATG,1917,
133,ATG,1918,
134,ATG,1919,
135,ATG,1920,
136,ATG,1921,
137,ATG,1922,
138,ATG,1923,
139,ATG,1924,
140,ATG,1925,
141,ATG,1926,
142,ATG,1927,
143,ATG,1928,
144,ATG,1929,
145,ATG,1930,
146,ATG,1931,
147,ATG,1932,
148,ATG,1933,
149,ATG,1934,
150,ATG,1935,
151,ATG,1936,
152,ATG,1937,
153,ATG,1938,
154,ATG,1939,
155,ATG,1940,
156,ATG,1941,
157,ATG,1942,
158,ATG,1943,
159,ATG,1944,
160,ATG,1945,
161,ATG,1946,
162,ATG,1947,
163,ATG,1948,
164,ATG,1949,
165,ATG,1950,
166,ATG,1951,
167,ATG,1952,
168,ATG,1953,
169,ATG,1954,
170,ATG,1955,
171,ATG,1956,
172,ATG,1957,
173,ATG,1958,
174,ATG,1959,
175,ATG,1960,
176,ATG,1961,
177,ATG,1962,
178,ATG,1963,
179,ATG,1964,
180,ATG,1965,
181,ATG,1966,
182,ATG,1967,
183,ATG,1968,
184,ATG,1969,
185,ATG,1970,
186,ATG,1971,
187,ATG,1972,
188,ATG,1973,
189,ATG,1974,
190,ATG,1975,
191,ATG,1976,
192,ATG,1977,
193,ATG,1978,
194,ATG,1979,
195,ATG,1980,
196,ATG,1981,
197,ATG,1982,
198,ATG,1983,
199,ATG,1984,
200,ATG,1985,
201,ATG,1986,
202,ATG,1987,
203,ATG,1988,
204,ATG,1989,
205,ATG,1990,
206,ATG,1991,
207,ATG,1992,
208,ATG,1993,
209,ATG,1994,
210,ATG,1995,
211,ATG,1996,
212,ATG,1997,
213,ATG,1998,
214,ATG,1999,
215,ATG,2000,
216,ATG,2001,
217,ATG,2002,
218,ATG,2003,
219,ATG,2004,
220,ATG,2005,
221,ATG,2006,
222,ATG,2007,
223,ATG,2008,
224,ATG,2009,
225,ATG,2010,
226,ATG,2011,
227,ATG,2012,
228,ATG,2013,
229,ATG,2014,
230,AFG,1900,2.524106686313948
231,AFG,1901,1.824424818158149
232,AFG,1902,1.6966649461537588
233,AFG,1903,2.4365340769290924
234,AFG,1904,2.240378444393476
235,AFG,1905,2.284934669112167
236,AFG,1906,2.1245780723790326
237,AFG,1907,2.0541349075113726
238,AFG,1908,1.964708408961693
239,AFG,1909,1.9909722345570715
240,AFG,1910,2.7796076182276015
241,AFG,1911,2.2744566878924775
242,AFG,1912,2.142206039900582
243,AFG,1913,2.075208983073631
244,AFG,1914,2.893408343195914
245,AFG,1915,1.8864689612140255
246,AFG,1916,2.4314858652651306
247,AFG,1917,1.6074283594886467
248,AFG,1918,2.1052259538943567
249,AFG,1919,2.1162533399959402
250,AFG,1920,2.0711977919563656
251,AFG,1921,1.9099143308897821
252,AFG,1922,2.076780177652837
253,AFG,1923,2.422424770891667
254,AFG,1924,2.8472596686333413
255,AFG,1925,1.542564000934363
256,AFG,1926,2.4004029383261996
257,AFG,1927,1.6025908986727397
258,AFG,1928,2.146069018791119
259,AFG,1929,2.286699866565565
260,AFG,1930,2.0923208078990383
261,AFG,1931,2.7573324218392368
262,AFG,1932,1.9628894487395891
263,AFG,1933,2.2961557234326997
264,AFG,1934,2.266731852044663
265,AFG,1935,2.3569062811632944
266,AFG,1936,2.1255591052273908
267,AFG,1937,2.0827930526187024
268,AFG,1938,2.1144528922935324
269,AFG,1939,2.7181073712805905
270,AFG,1940,1.9576625283807514
271,AFG,1941,1.9094727337360373
272,AFG,1942,2.4648295200119414
273,AFG,1943,2.1462079503883915
274,AFG,1944,2.3751503179470697
275,AFG,1945,2.23684963832299
276,AFG,1946,1.5687931273132565
277,AFG,1947,1.7253906019032001
278,AFG,1948,1.7717162401725848
279,AFG,1949,2.225903761883577
280,AFG,1950,1.9104494377970704
281,AFG,1951,2.092396700754762
282,AFG,1952,2.075499455134073
283,AFG,1953,2.360036256412665
284,AFG,1954,2.3949906378984456
285,AFG,1955,1.9852427976826832
286,AFG,1956,2.9018827490508556
287,AFG,1957,3.05295634518067
288,AFG,1958,2.1064482927322397
289,AFG,1959,2.7204648746798434
290,AFG,1960,2.143940450002749
291,AFG,1961,2.3021705274780593
292,AFG,1962,1.9124983350435893
293,AFG,1963,2.1671195651094117
294,AFG,1964,2.291997328400613
295,AFG,1965,2.3838606812059875
296,AFG,1966,2.0227014596263566
297,AFG,1967,2.5780360673864684
298,AFG,1968,2.568784456700087
299,AFG,1969,2.155284523343046
300,AFG,1970,1.626045246918996
301,AFG,1971,1.399140737950802
302,AFG,1972,2.7996389145652447
303,AFG,1973,1.9781215240557994
304,AFG,1974,2.211316684881846
305,AFG,1975,2.2129915133118616
306,AFG,1976,2.6271520977218947
307,AFG,1977,1.9633474970857303
308,AFG,1978,2.015488379324477
309,AFG,1979,2.1454916770259547
310,AFG,1980,2.4368676481147604
311,AFG,1981,2.480449586485823
312,AFG,1982,3.117826696485283
313,AFG,1983,2.2015552036464214
314,AFG,1984,1.9334306245048836
315,AFG,1985,1.636249841811756
316,AFG,1986,2.219742273290952
317,AFG,1987,1.8639785914371414
318,AFG,1988,2.4327105116099106
319,AFG,1989,2.1209438443183886
320,AFG,1990,2.453894307216008
321,AFG,1991,2.886581709608436
322,AFG,1992,2.6851420241097617
323,AFG,1993,2.2741978780056034
324,AFG,1994,2.21914705634117
325,AFG,1995,2.3338776975870146
