,Country,Year,Mean_Temp
0,ABW,1900,
1,ABW,1901,
2,ABW,1902,
3,ABW,1903,
4,ABW,1904,
5,ABW,1905,
6,ABW,1906,
7,ABW,1907,
8,ABW,1908,
9,ABW,1909,
10,ABW,1910,
11,ABW,1911,
12,ABW,1912,
13,ABW,1913,
14,ABW,1914,
15,ABW,1915,
16,ABW,1916,
17,ABW,1917,
18,ABW,1918,
19,ABW,1919,
20,ABW,1920,
21,ABW,1921,
22,ABW,1922,
23,ABW,1923,
24,ABW,1924,
25,ABW,1925,
26,ABW,1926,
27,ABW,1927,
28,ABW,1928,
29,ABW,1929,
30,ABW,1930,
31,ABW,1931,
32,ABW,1932,
33,ABW,1933,
34,ABW,1934,
35,ABW,1935,
36,ABW,1936,
37,ABW,1937,
38,ABW,1938,
39,ABW,1939,
40,ABW,1940,
41,ABW,1941,
42,ABW,1942,
43,ABW,1943,
44,ABW,1944,
45,ABW,1945,
46,ABW,1946,
47,ABW,1947,
48,ABW,1948,
49,ABW,1949,
50,ABW,1950,
51,ABW,1951,
52,ABW,1952,
53,ABW,1953,
54,ABW,1954,
55,ABW,1955,
56,ABW,1956,
57,ABW,1957,
58,ABW,1958,
59,ABW,1959,
60,ABW,1960,
61,ABW,1961,
62,ABW,1962,
63,ABW,1963,
64,ABW,1964,
65,ABW,1965,
66,ABW,1966,
67,ABW,1967,
68,ABW,1968,
69,ABW,1969,
70,ABW,1970,
71,ABW,1971,
72,ABW,1972,
73,ABW,1973,
74,ABW,1974,
75,ABW,1975,
76,ABW,1976,
77,ABW,1977,
78,ABW,1978,
79,ABW,1979,
80,ABW,1980,
81,ABW,1981,
82,ABW,1982,
83,ABW,1983,
84,ABW,1984,
85,ABW,1985,
86,ABW,1986,
87,ABW,1987,
88,ABW,1988,
89,ABW,1989,
90,ABW,1990,
91,ABW,1991,
92,ABW,1992,
93,ABW,1993,
94,ABW,1994,
95,ABW,1995,
96,ABW,1996,
97,ABW,1997,
98,ABW,1998,
99,ABW,1999,
100,ABW,2000,
101,ABW,2001,
102,ABW,2002,
103,ABW,2003,
104,ABW,2004,
105,ABW,2005,
106,ABW,2006,
107,ABW,2007,
108,ABW,2008,
109,ABW,2009,
110,ABW,2010,
111,ABW,2011,
112,ABW,2012,
113,ABW,2013,
114,ABW,2014,
115,ABW,2015,
116,ABW,2016,
117,ABW,2017,
118,ATG,1900,
119,ATG,1901,
120,ATG,1902,
121,ATG,1903,
122,ATG,1904,
123,ATG,1905,
124,ATG,1906,
125,ATG,1907,
126,ATG,1908,
127,ATG,1909,
128,ATG,1910,
129,ATG,1911,
130,ATG,1912,
131,ATG,1913,
132,ATG,1914,
133,ATG,1915,
134,ATG,1916,
135,ATG,1917,
136,ATG,1918,
137,ATG,1919,
138,ATG,1920,
139,ATG,1921,
140,ATG,1922,
141,ATG,1923,
142,ATG,1924,
143,ATG,1925,
144,ATG,1926,
145,ATG,1927,
146,ATG,1928,
147,ATG,1929,
148,ATG,1930,
149,ATG,1931,
150,ATG,1932,
151,ATG,1933,
152,ATG,1934,
153,ATG,1935,
154,ATG,1936,
155,ATG,1937,
156,ATG,1938,
157,ATG,1939,
158,ATG,1940,
159,ATG,1941,
160,ATG,1942,
161,ATG,1943,
162,ATG,1944,
163,ATG,1945,
164,ATG,1946,
165,ATG,1947,
166,ATG,1948,
167,ATG,1949,
168,ATG,1950,
169,ATG,1951,
170,ATG,1952,
171,ATG,1953,
172,ATG,1954,
173,ATG,1955,
174,ATG,1956,
175,ATG,1957,
176,ATG,1958,
177,ATG,1959,
178,ATG,1960,
179,ATG,1961,
180,ATG,1962,
181,ATG,1963,
182,ATG,1964,
183,ATG,1965,
184,ATG,1966,
185,ATG,1967,
186,ATG,1968,
187,ATG,1969,
188,ATG,1970,
189,ATG,1971,
190,ATG,1972,
191,ATG,1973,
192,ATG,1974,
193,ATG,1975,
194,ATG,1976,
195,ATG,1977,
196,ATG,1978,
197,ATG,1979,
198,ATG,1980,
199,ATG,1981,
200,ATG,1982,
201,ATG,1983,
202,ATG,1984,
203,ATG,1985,
204,ATG,1986,
205,ATG,1987,
206,ATG,1988,
207,ATG,1989,
208,ATG,1990,
209,ATG,1991,
210,ATG,1992,
211,ATG,1993,
212,ATG,1994,
213,ATG,1995,
214,ATG,1996,
215,ATG,1997,
216,ATG,1998,
217,ATG,1999,
218,ATG,2000,
219,ATG,2001,
220,ATG,2002,
221,ATG,2003,
222,ATG,2004,
223,ATG,2005,
224,ATG,2006,
225,ATG,2007,
226,ATG,2008,
227,ATG,2009,
228,ATG,2010,
229,ATG,2011,
230,ATG,2012,
231,ATG,2013,
232,ATG,2014,
233,ATG,2015,
234,ATG,2016,
235,ATG,2017,
236,AFG,1900,11.55887539
237,AFG,1901,11.75812246
238,AFG,1902,12.26903129
239,AFG,1903,10.66234578
240,AFG,1904,11.36176546
241,AFG,1905,11.02190401
242,AFG,1906,11.87688886
243,AFG,1907,11.08566974
244,AFG,1908,11.3980654
245,AFG,1909,11.72537954
246,AFG,1910,10.90428319
247,AFG,1911,10.96459743
248,AFG,1912,11.42822159
249,AFG,1913,11.51752657
250,AFG,1914,12.08589275
251,AFG,1915,12.6320018
252,AFG,1916,11.0427135
253,AFG,1917,11.84121001
254,AFG,1918,11.40870215
255,AFG,1919,11.79737631
256,AFG,1920,10.86616431
257,AFG,1921,11.78296627
258,AFG,1922,12.06513807
259,AFG,1923,11.07258004
260,AFG,1924,11.23742139
261,AFG,1925,11.5816191
262,AFG,1926,11.40332359
263,AFG,1927,11.48805948
264,AFG,1928,11.20978603
265,AFG,1929,10.97564389
266,AFG,1930,10.63183192
267,AFG,1931,10.93823122
268,AFG,1932,11.19922537
269,AFG,1933,11.4963322
270,AFG,1934,10.85170647
271,AFG,1935,10.9075982
272,AFG,1936,11.62265922
273,AFG,1937,11.00162896
274,AFG,1938,11.71906651
275,AFG,1939,11.72337215
276,AFG,1940,12.30508887
277,AFG,1941,13.1174484
278,AFG,1942,11.95229493
279,AFG,1943,11.22540958
280,AFG,1944,11.91880698
281,AFG,1945,11.34947683
282,AFG,1946,12.10972156
283,AFG,1947,12.55169304
284,AFG,1948,11.91136336
285,AFG,1949,11.01891794
286,AFG,1950,10.80294251
287,AFG,1951,11.74218174
288,AFG,1952,11.85861058
289,AFG,1953,12.29361006
290,AFG,1954,11.33347563
291,AFG,1955,12.32486721
292,AFG,1956,11.7428182
293,AFG,1957,10.38215956
294,AFG,1958,12.23603705
295,AFG,1959,11.68273235
296,AFG,1960,11.50866954
297,AFG,1961,11.59320411
298,AFG,1962,11.33014374
299,AFG,1963,12.63884349
300,AFG,1964,10.58171019
301,AFG,1965,11.69686845
302,AFG,1966,12.01559466
303,AFG,1967,11.29217589
304,AFG,1968,11.34742258
305,AFG,1969,11.29213945
306,AFG,1970,12.37508204
307,AFG,1971,12.46567171
308,AFG,1972,10.06375634
309,AFG,1973,11.78755988
310,AFG,1974,10.90568455
311,AFG,1975,11.16481951
312,AFG,1976,11.32447799
313,AFG,1977,12.45693253
314,AFG,1978,12.00782919
315,AFG,1979,12.04754918
316,AFG,1980,12.57414222
317,AFG,1981,12.17456822
318,AFG,1982,11.27440099
319,AFG,1983,12.31071473
320,AFG,1984,11.80603371
321,AFG,1985,12.39511318
322,AFG,1986,11.70436193
323,AFG,1987,12.50927831
324,AFG,1988,12.89802618
325,AFG,1989,11.46520311
326,AFG,1990,12.37119866
327,AFG,1991,11.48916785
328,AFG,1992,11.31926636
329,AFG,1993,11.70868065
330,AFG,1994,12.02325953
331,AFG,1995,11.95823501
332,AFG,1996,11.53438018
333,AFG,1997,12.08325403
334,AFG,1998,12.23823193
335,AFG,1999,12.63175991
336,AFG,2000,12.72885187
337,AFG,2001,13.15923685
338,AFG,2002,12.69519099
339,AFG,2003,12.41593526
340,AFG,2004,13.16134192
341,AFG,2005,12.46763701
342,AFG,2006,13.94905576
343,AFG,2007,13.2623193
344,AFG,2008,13.1260759
