effect,coef
_yi_isoxtim_2,0
_yi_isoxtim_3,-0.0779156
_yi_isoxtim_4,-0.0126113
_yi_isoxtim_5,-0.0034123
_yi_isoxtim_6,0.0107284
_yi_isoxtim_7,-0.0026185
_yi_isoxtim_8,0.2297117
_yi_isoxtim_9,0
_yi_isoxtim_10,-0.0000597
_yi_isoxtim_11,-0.0007529
_yi_isoxtim_12,0.1457823
_yi_isoxtim_13,-0.0002992
_yi_isoxtim_14,-0.0011522
_yi_isoxtim_15,-0.0004399
_yi_isoxtim_16,-0.0003153
_yi_isoxtim_17,-0.0008407
_yi_isoxtim_18,-0.014751
_yi_isoxtim_19,0
_yi_isoxtim_20,-0.0000463
_yi_isoxtim_21,-0.3015538
_yi_isoxtim_22,0.06111
_yi_isoxtim_23,0.0026252
_yi_isoxtim_24,0
_yi_isoxtim_25,-0.0030474
_yi_isoxtim_26,-0.0023121
_yi_isoxtim_27,0
_yi_isoxtim_28,-0.0044741
_yi_isoxtim_29,-0.0090634
_yi_isoxtim_30,0.0019814
_yi_isoxtim_31,-0.0034621
_yi_isoxtim_32,-0.001249
_yi_isoxtim_33,0.0009717
_yi_isoxtim_34,0
_yi_isoxtim_35,0.0020726
_yi_isoxtim_36,0.0067545
_yi_isoxtim_37,-0.0059702
_yi_isoxtim_38,-0.0000647
_yi_isoxtim_39,0
_yi_isoxtim_40,-0.0009235
_yi_isoxtim_41,-0.0007589
_yi_isoxtim_42,-0.0082068
_yi_isoxtim_43,0.0107415
_yi_isoxtim_44,-0.0001815
_yi_isoxtim_45,-0.0099064
_yi_isoxtim_46,-0.0109329
_yi_isoxtim_47,0.0390234
_yi_isoxtim_48,0.0005794
_yi_isoxtim_49,-0.000713
_yi_isoxtim_50,0
_yi_isoxtim_51,-0.0003563
_yi_isoxtim_52,-0.0010738
_yi_isoxtim_53,0.0011599
_yi_isoxtim_54,-0.0002575
_yi_isoxtim_55,0.0025145
_yi_isoxtim_56,-0.1413748
_yi_isoxtim_57,-0.0019883
_yi_isoxtim_58,0.0879494
_yi_isoxtim_59,-0.0153783
_yi_isoxtim_60,-0.0008305
_yi_isoxtim_61,0.0000651
_yi_isoxtim_62,-0.0015611
_yi_isoxtim_63,0
_yi_isoxtim_64,-0.0060152
_yi_isoxtim_65,0.0008793
_yi_isoxtim_66,-0.0181859
_yi_isoxtim_67,-0.0015753
_yi_isoxtim_68,0.0025744
_yi_isoxtim_69,-0.001802
_yi_isoxtim_70,0.0010947
_yi_isoxtim_71,0.1134606
_yi_isoxtim_72,-0.0050541
_yi_isoxtim_73,0
_yi_isoxtim_74,-0.0032246
_yi_isoxtim_75,-0.0007654
_yi_isoxtim_76,-0.0000953
_yi_isoxtim_77,0
_yi_isoxtim_78,-0.0004426
_yi_isoxtim_79,0.0241178
_yi_isoxtim_80,-0.033897
_yi_isoxtim_81,-0.0052572
_yi_isoxtim_82,0.0029296
_yi_isoxtim_83,0
_yi_isoxtim_84,-0.0002148
_yi_isoxtim_85,0.0093181
_yi_isoxtim_86,-0.0114467
_yi_isoxtim_87,0.2477496
_yi_isoxtim_88,0.0005428
_yi_isoxtim_89,-0.0029015
