"","econvar","depvar","wreg","tvar","prec","form","seasont","regtype","boot","lags","wdata","exclude","years","baseline","select"
"1","tfp","fd","equal","tmax",TRUE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"2","tfp","fd","revenue","tmax",TRUE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"3","tfp","fd","equal","tmean",TRUE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,TRUE,TRUE
"4","tfp","fd","revenue","tmean",TRUE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"5","tfp","fd","equal","tmin",TRUE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"6","tfp","fd","revenue","tmin",TRUE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"7","tfp","fd","equal","tmax",FALSE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"8","tfp","fd","revenue","tmax",FALSE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"9","tfp","fd","equal","tmean",FALSE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"10","tfp","fd","revenue","tmean",FALSE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"11","tfp","fd","equal","tmin",FALSE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"12","tfp","fd","revenue","tmin",FALSE,"quad","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"13","tfp","fd","equal","tmax",TRUE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"14","tfp","fd","revenue","tmax",TRUE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"15","tfp","fd","equal","tmean",TRUE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"16","tfp","fd","revenue","tmean",TRUE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"17","tfp","fd","equal","tmin",TRUE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"18","tfp","fd","revenue","tmin",TRUE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"19","tfp","fd","equal","tmax",FALSE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"20","tfp","fd","revenue","tmax",FALSE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"21","tfp","fd","equal","tmean",FALSE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"22","tfp","fd","revenue","tmean",FALSE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"23","tfp","fd","equal","tmin",FALSE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"24","tfp","fd","revenue","tmin",FALSE,"cubic","green5","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"25","tfp","fd","equal","tmax",TRUE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"26","tfp","fd","revenue","tmax",TRUE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"27","tfp","fd","equal","tmean",TRUE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"28","tfp","fd","revenue","tmean",TRUE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"29","tfp","fd","equal","tmin",TRUE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"30","tfp","fd","revenue","tmin",TRUE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"31","tfp","fd","equal","tmax",FALSE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"32","tfp","fd","revenue","tmax",FALSE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"33","tfp","fd","equal","tmean",FALSE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"34","tfp","fd","revenue","tmean",FALSE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"35","tfp","fd","equal","tmin",FALSE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"36","tfp","fd","revenue","tmin",FALSE,"quad","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"37","tfp","fd","equal","tmax",TRUE,"cubic","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"38","tfp","fd","revenue","tmax",TRUE,"cubic","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
"39","tfp","fd","equal","tmean",TRUE,"cubic","green3&dry3","pooled","year.FAOregion",0,"cropland","none",NA,FALSE,FALSE
