,Country,Year,Temp,GDP,GDP_change,GDP_Normalized_By_Country,Precipitation
0,ABW,1960,,,,,
1,ABW,1961,,,,,
2,ABW,1962,,,,,
3,ABW,1963,,,,,
4,ABW,1964,,,,,
5,ABW,1965,,,,,
6,ABW,1966,,,,,
7,ABW,1967,,,,,
8,ABW,1968,,,,,
9,ABW,1969,,,,,
10,ABW,1970,,,,,
11,ABW,1971,,,,,
12,ABW,1972,,,,,
13,ABW,1973,,,,,
14,ABW,1974,,,,,
15,ABW,1975,,,,,
16,ABW,1976,,,,,
17,ABW,1977,,,,,
18,ABW,1978,,,,,
19,ABW,1979,,,,,
20,ABW,1980,,,,,
21,ABW,1981,,,,,
22,ABW,1982,,,,,
23,ABW,1983,,,,,
24,ABW,1984,,,,,
25,ABW,1985,,,,,
26,ABW,1986,,,,,
27,ABW,1987,,,,,
28,ABW,1988,,,,,
29,ABW,1989,,,,,
30,ABW,1990,,,,,
31,ABW,1991,,,,,
32,ABW,1992,,,,,
33,ABW,1993,,,,,
34,ABW,1994,,,,,
35,ABW,1995,,1793000000.0,-0.0338177,-2.2957543432087957,
36,ABW,1996,,1933000000.0,0.0401474,-1.4004740979463128,
37,ABW,1997,,2062000000.0,0.037829,-0.5755373005258819,
38,ABW,1998,,2086000000.0,-0.0097006,-0.4220606870523134,
39,ABW,1999,,2180000000.0,0.0245456,0.1790560490524966,
40,ABW,2000,,2172000000.0,-0.0242702,0.12789717789464045,
41,ABW,2001,,2125000000.0,-0.0440435,-0.1726611901577646,
42,ABW,2002,,2135000000.0,-0.0177231,-0.10871260121044438,
43,ABW,2003,,2295000000.0,0.0514604,0.9144648219466791,
44,ABW,2004,,2322000000.0,-0.0059466,1.0871260121044437,
45,ABW,2005,,2331000000.0,-0.0091731,1.1446797421570318,
46,ABW,2006,,2386000000.0,0.0153224,1.496396981367293,
47,ABW,2007,,2299000000.0,-0.0410814,0.9400442575256073,
48,ABW,2008,,2141000000.0,-0.0725294,-0.07034344784205224,
49,ABW,2009,,2020000000.0,-0.058926,-0.8441213741046268,
50,ABW,2010,,,,,
51,ABW,2011,,,,,
52,ABW,2012,,,,,
53,ABW,2013,,,,,
54,ADO,1960,,,,,
55,ADO,1961,,,,,
56,ADO,1962,,,,,
57,ADO,1963,,,,,
58,ADO,1964,,,,,
59,ADO,1965,,,,,
60,ADO,1966,,,,,
61,ADO,1967,,,,,
62,ADO,1968,,,,,
63,ADO,1969,,,,,
64,ADO,1970,,,,,
65,ADO,1971,,731900000.0,-0.0059706,-1.2216439505658154,
66,ADO,1972,,791600000.0,0.0275464,-1.1205768550552102,
67,ADO,1973,,853200000.0,0.0264086,-1.016293218816462,
68,ADO,1974,,901100000.0,0.010222,-0.935202534143799,
69,ADO,1975,,906000000.0,-0.034186,-0.9269072448975348,
70,ADO,1976,,936000000.0,-0.0019067,-0.8761197597163263,
71,ADO,1977,,962500000.0,-0.002624,-0.831257481139592,
72,ADO,1978,,976600000.0,-0.0148549,-0.8073873631044239,
73,ADO,1979,,977000000.0,-0.0308859,-0.8067101966353412,
74,ADO,1980,,998600000.0,-0.0132573,-0.770143207304871,
75,ADO,1981,,997300000.0,-0.0404524,-0.77234399832939,
76,ADO,1982,,1010000000.0,-0.0296475,-0.7508439629360117,
77,ADO,1983,,1028000000.0,-0.0262249,-0.7203714718272866,
78,ADO,1984,,1046000000.0,-0.0264026,-0.6898989807185614,
79,ADO,1985,,1070000000.0,-0.020425,-0.6492689925735945,
80,ADO,1986,,1105000000.0,-0.010093,-0.5900169265288512,
81,ADO,1987,,1166000000.0,0.0130647,-0.48674903999372704,
82,ADO,1988,,1226000000.0,0.0097795,-0.38517406963130985,
83,ADO,1989,,1285000000.0,0.0079063,-0.2852920154415996,
84,ADO,1990,,1333000000.0,-0.0014447,-0.20403203915166584,
85,ADO,1991,,1367000000.0,-0.0137717,-0.14647288927962945,
86,ADO,1992,,1380000000.0,-0.0293442,-0.12446497903443905,
87,ADO,1993,,1366000000.0,-0.0453825,-0.1481658054523364,
88,ADO,1994,,1398000000.0,-0.0039976,-0.0939924879257139,
89,ADO,1995,,1437000000.0,0.0090755,-0.027968757190142725,
90,ADO,1996,,1504000000.0,0.0388928,0.08545662638122313,
91,ADO,1997,,1640000000.0,0.0896652,0.31569322586936877,
92,ADO,1998,,1693000000.0,0.035999,0.40541778302283726,
93,ADO,1999,,1762000000.0,0.0357158,0.522228998939617,
94,ADO,2000,,1783000000.0,-0.0087218,0.5577802385664631,
95,ADO,2001,,1992000000.0,0.0722747,0.9115997186622162,
96,ADO,2002,,2109000000.0,0.0049505,1.1096709108689298,
97,ADO,2003,,2252000000.0,0.0109753,1.351757923566024,
98,ADO,2004,,2398000000.0,0.01865,1.5989236847812391,
99,ADO,2005,,2540000000.0,0.0305023,1.8393177813056265,
100,ADO,2006,,2712000000.0,0.0576738,2.1304993630112223,
101,ADO,2007,,2751000000.0,0.0213502,2.196523093746794,
102,ADO,2008,,2849000000.0,0.0514932,2.362428878672075,
103,ADO,2009,,,,,
104,ADO,2010,,,,,
