Region,temp_prior_1,temp_prior_2,temp_prior_3,temp_std_1,temp_std_2,temp_std_3,precip_prior,drought_coef_1,drought_coef_2,drought_coef_3,drought_coef_4,temp_tfp_coef,temp_tfp_coef2,precip_tfp_coef,precip_tfp_coef2,drought_tfp_coef,tfp_intercept,tfp_prior,tfp_std
Middle Africa,"Mean=-0.17010531519430824,SD=1.1614678248569448","Mean=-0.8988780775656817,SD=0.9012961138227896","Mean=0.7350390887864557,SD=0.7164294063616056","Mean=0.33615868975132945,SD=0.19271271901337664","Mean=0.5380230507018982,SD=0.47417547211525335","Mean=0.46797122211199627,SD=0.21250695507317074","Mean=2.3957424547800152,SD=0.1199167530903863","Mean=-0.038994832767986015,SD=0.17535141796711226","Mean=-1.171057142128638,SD=0.7047067694122207","Mean=1.50394808568111,SD=0.5899249354472614","Mean=-1.1606744366913049,SD=0.7116153722635269","Mean=0.027225987026452295,SD=0.050663463569131456","Mean=-0.03256571996632174,SD=0.04826126779523915","Mean=0.07704724865799992,SD=0.6308035696655946","Mean=-0.2063437328987102,SD=0.5328104493244386","Mean=0.2600759978291325,SD=0.19752280683086101","Mean=0.04564824396153898,SD=0.1722093315359061","Mean=0.0001522895138376201,SD=0.15800706765628078","Mean=1.0037647899183333,SD=0.03407963321814134"
Australia and New Zealand,"Mean=-0.10155773559741073,SD=0.959104709789115","Mean=-0.999387194736531,SD=0.055929800469571536","Mean=0.5165012530431872,SD=0.852439126177127","Mean=0.11574470083875622,SD=0.2901170058049471","Mean=0.04955928586520838,SD=0.06259397079618803","Mean=0.15746025235146077,SD=0.32113129067230844","Mean=1.947893107113232,SD=0.1780648812508206","Mean=-0.2980769082307647,SD=0.5077997512354611","Mean=-0.9751559840890461,SD=0.7447513544987093","Mean=0.8187615850282525,SD=0.8726835668151058","Mean=-1.011750525130876,SD=0.7319513528677768","Mean=-2.033458615774437,SD=1.4764764012237555","Mean=0.21051960314596085,SD=0.7406099968275499","Mean=-2.0430630312711626,SD=7.220394751386658","Mean=-2.079815822850828,SD=7.280062826695404","Mean=0.029425430179620245,SD=0.33638622046367644","Mean=1.8530931988339248,SD=1.7181412137665524","Mean=0.005012670813413481,SD=0.25759596030703036","Mean=1.0245785362400228,SD=0.06913292959901718"
Southern Asia,"Mean=0.48171706860537805,SD=1.173125776851392","Mean=-0.4121385429610416,SD=0.9569090692572622","Mean=0.3603049695058217,SD=0.8276239611437168","Mean=0.1136908839550294,SD=0.07151624237862782","Mean=0.4119460718818511,SD=0.283889300073611","Mean=0.3542117038203359,SD=0.26495109109592097","Mean=5.351169098380175,SD=0.24511214782424096","Mean=-0.5183257553435304,SD=0.1855841616814477","Mean=-1.135812948810301,SD=0.6834985001329617","Mean=1.1727857141189715,SD=0.7192404989261402","Mean=-1.1079976652201358,SD=0.6829520197296457","Mean=0.04091875334425978,SD=0.06562393872647232","Mean=0.04200518361262844,SD=0.09052793549338072","Mean=-1.2914955515873008,SD=1.2231144928617181","Mean=1.0730854787846484,SD=1.1975595442204754","Mean=-0.6813756238583187,SD=0.16492116800355552","Mean=0.11096556459689409,SD=0.09112883047707294","Mean=0.0027950773374184317,SD=0.23214056507104522","Mean=0.9887500629753352,SD=0.034470259538756494"
Northern America,"Mean=-0.20378507820904815,SD=0.9524385638122681","Mean=0.05339223951041981,SD=0.9758187020685488","Mean=-0.3445074020377095,SD=0.896735904413","Mean=0.20063027184940047,SD=0.2956537781979986","Mean=0.17825224883261637,SD=0.285677206753152","Mean=0.18319421126589933,SD=0.2813364117617107","Mean=1.9514734705449353,SD=0.1807601276637413","Mean=-0.6846269750300066,SD=0.49623529020673995","Mean=-0.9177398299056192,SD=0.7472374052693503","Mean=0.36620905648950564,SD=0.8492501898459517","Mean=-0.9337665554539492,SD=0.7538884456605152","Mean=-0.29466750393961405,SD=1.0916708607598336","Mean=-0.018813723660570394,SD=0.538577080532683","Mean=0.34405477416141134,SD=7.176306729561328","Mean=0.32323859253741377,SD=7.161607926332999","Mean=-0.2080510360764912,SD=0.3239786490364562","Mean=-0.28872848774851456,SD=0.9251396413554833","Mean=0.0005543447028637418,SD=0.23289278008911773","Mean=1.0307375453792165,SD=0.07129263546817888"
South America,"Mean=-0.5606529468906043,SD=0.9005001999846289","Mean=0.3324665455269619,SD=0.44071913103543964","Mean=-1.0281804485907409,SD=1.460270267863197","Mean=0.6441250694280504,SD=0.2902222352151432","Mean=0.34227036355495216,SD=0.1999289160847034","Mean=0.16626677419261324,SD=0.12238645680816888","Mean=2.048057267603218,SD=0.07586663485089598","Mean=-0.5726890955640438,SD=0.166652772652471","Mean=-0.7881781589709187,SD=0.7024878715002993","Mean=1.7288485120555175,SD=0.41013177800426337","Mean=-0.8234933501181847,SD=0.7088019628278674","Mean=0.02937882471178574,SD=0.06903637211035839","Mean=0.02399878908962933,SD=0.038605196849789664","Mean=0.15193492652782886,SD=0.4858934636016274","Mean=-0.22481481783917298,SD=0.4722091155287771","Mean=0.03901363069375667,SD=0.13434028928490527","Mean=-0.02191858303046026,SD=0.09816286519649015","Mean=0.00041941954866417895,SD=0.10274166824684387","Mean=1.005593685239118,SD=0.029007310457257494"
Eastern Asia,"Mean=-0.359425109084478,SD=1.210169485366022","Mean=-0.49087444757045345,SD=0.6231273869893684","Mean=0.00038736582289021726,SD=0.9911982103601592","Mean=0.14822642523704152,SD=0.03492355919100254","Mean=0.130204798357073,SD=0.031871799126088424","Mean=0.13145588274811593,SD=0.030605884245316958","Mean=1.7993343784699032,SD=0.12007251667460614","Mean=0.4638308988262007,SD=0.279793932593011","Mean=-1.3484180334801694,SD=0.7363803786412136","Mean=-1.484888520075333,SD=0.6515943829713448","Mean=-1.4171546032864568,SD=0.7348956846009913","Mean=0.21688014743296777,SD=0.15458039329445664","Mean=-0.4183622059185855,SD=0.2043586466336432","Mean=-2.0487167034026,SD=1.7725983890531496","Mean=1.0570380575247786,SD=1.2357158066469567","Mean=0.14536818553708805,SD=0.22788855812498307","Mean=1.0613149286992125,SD=0.6388889946501227","Mean=-0.004760020689462415,SD=0.29857392417984024","Mean=0.9874676679423385,SD=0.048895787905052834"
South-eastern Asia,"Mean=-0.7688546195746084,SD=0.7479740384002499","Mean=-0.0006758709241663609,SD=0.9373718313547271","Mean=0.00420686469376642,SD=0.9418664694156113","Mean=0.20663894496871718,SD=0.07038228265219626","Mean=0.36368940551292367,SD=0.1732667817048923","Mean=0.35942698057881545,SD=0.1718355093653822","Mean=2.2622933307573985,SD=0.10636098841586164","Mean=-0.07492152730517812,SD=0.15993257493496682","Mean=-0.956514543080798,SD=0.7033869974463478","Mean=0.4792838066026646,SD=0.4240749030703107","Mean=-0.96983083273744,SD=0.6984799716777199","Mean=0.002578019733920598,SD=0.05891271165090254","Mean=-0.010969962934477174,SD=0.057817210695919434","Mean=0.361643879603375,SD=0.5622130942313842","Mean=-0.357538979264732,SD=0.5736426953708242","Mean=-0.17436196129044634,SD=0.15510705089258922","Mean=-0.013647812643550075,SD=0.13691252208785287","Mean=0.0010834080060740982,SD=0.138430527203762","Mean=1.0075330648286385,SD=0.03474699602279788"
Central America,"Mean=-0.900061690954142,SD=0.6851249879659241","Mean=-0.04104381444467572,SD=1.1812362370465996","Mean=-1.0094314915831968,SD=1.148774169746068","Mean=0.24793535666224686,SD=0.04382816174657555","Mean=0.3723830440107615,SD=0.11061689164323683","Mean=0.2692461775427868,SD=0.10552593472553598","Mean=2.8872294381690935,SD=0.1309264198839289","Mean=-0.11176897461052422,SD=0.1646555287865648","Mean=-1.1177695940099015,SD=0.7081275200288781","Mean=0.09616266415942104,SD=0.4063538699180777","Mean=-1.143385736803514,SD=0.7093467451761133","Mean=-0.13850007595333313,SD=0.06809490871330548","Mean=-0.042173784353469655,SD=0.06085283163757023","Mean=0.6300234743393248,SD=0.8825986572017106","Mean=-0.6075047747359993,SD=0.7808249612432125","Mean=0.06553398965427157,SD=0.168604612066235","Mean=-0.020487367412516676,SD=0.16637260641897353","Mean=-1.7007891316464332e-05,SD=0.16572362735672133","Mean=1.0016290075856853,SD=0.03392125783381723"
Northern Africa,"Mean=-0.3963384415951523,SD=1.3450664446068104","Mean=-0.3963517711717781,SD=1.3460456745686589","Mean=0.8158821447083082,SD=0.8248496065618803","Mean=0.25467907249250404,SD=0.09323140746419416","Mean=0.25509950061254466,SD=0.09345637846131663","Mean=0.3019756175732963,SD=0.11145201998740947","Mean=3.5548525598614042,SD=0.18611439273563307","Mean=0.17052101990234664,SD=0.28950845964671135","Mean=-1.7386644535308537,SD=0.7375868454461851","Mean=-1.6912721178210122,SD=0.7130297185816006","Mean=-1.7325789872443829,SD=0.7331984382103885","Mean=0.0011084922103815056,SD=0.15665800700489757","Mean=0.001293073380147949,SD=0.10492236151391526","Mean=-0.3735837907860532,SD=0.9009722749462615","Mean=0.22379563486625148,SD=0.93670888686191","Mean=-0.19905790383147565,SD=0.2539328013018394","Mean=0.06854381662811784,SD=0.11643766746346673","Mean=3.560117211964318e-05,SD=0.15130461848566668","Mean=1.009770829642943,SD=0.040916900757502775"
Western Asia,"Mean=-0.9722410937402248,SD=0.5326534399719173","Mean=0.7140035117999727,SD=0.44212737888322473","Mean=-0.10351932413687928,SD=0.7971845033343454","Mean=0.32072199335649304,SD=0.09962829456604913","Mean=0.23161045806610098,SD=0.0490261673526331","Mean=0.23405673185502066,SD=0.09537467747321328","Mean=4.5460071669441735,SD=0.15407697725100056","Mean=0.23810718040872847,SD=0.3061470254667926","Mean=-2.1020693363965552,SD=0.7334708610947869","Mean=0.20477812390525116,SD=0.7493677100363257","Mean=-2.102279395589232,SD=0.7257899052357235","Mean=-0.06754295225920605,SD=0.05075290907337613","Mean=-0.0287503452424507,SD=0.04425380376036113","Mean=-0.2002785578424357,SD=0.503982394407508","Mean=0.028674346176010147,SD=0.47046775783128636","Mean=-0.1295467776488507,SD=0.2885103592478121","Mean=0.07019373811531948,SD=0.06602642163012103","Mean=0.0007723981492499298,SD=0.10060513727806998","Mean=1.0034870647808294,SD=0.023765824134892317"
