Region,High temp tfp increase,Low temp tfp increase,High precip tfp increase,Low precip tfp increase,Drought tfp increase,No drought tfp increase,Low temp drought,High temp drought,Low precip drought,High precip drought
Middle Africa,0.4981943558518614,0.4844716187527528,0.4631978024436871,0.5072472471550306,0.5945937319541779,0.4846660043574906,0.05678620808667086,0.05961911346243215,0.07272728849407417,0.03307251177274686
Australia and New Zealand,0.3513999144164351,0.7776309922902505,0.3925882002181318,0.6676019048249007,0.5592282616660763,0.5668255496955452,0.08330937633396929,0.12837533455229616,0.12094630147608629,0.07931046862285195
Southern Asia,0.543078602856451,0.5325117389745841,0.4913451239953034,0.5644340899385379,0.3124712282547034,0.5600446991383609,0.05698836720569599,0.12697824742397687,0.09965554443476791,0.0748725755777942
Northern America,0.48168355735727847,0.5868897947857605,0.568198735143279,0.5152017136082092,0.4716819928105698,0.5461287498700775,0.07701502955740244,0.22314086028617414,0.15931927564835013,0.13305221604162928
South America,0.563414556691531,0.5569080288152711,0.5323501194320218,0.5775071602574833,0.5871810543747474,0.5577940451395109,0.06228635527914031,0.1337003319283425,0.13859216779580222,0.05036381269738642
Eastern Asia,0.7153568247999379,0.5109995710745792,0.5413720130715437,0.6650321990680341,0.57256823529372,0.6287016421934097,0.2109522796203322,0.11849790343193019,0.0959127612330651,0.2756109514047848
South-eastern Asia,0.5740023912699068,0.5715108655359377,0.5598036363764112,0.5805681611918699,0.5169132438247377,0.5798859080615759,0.10391604779472273,0.1146412125455217,0.12020261106561461,0.09242088454105199
Central America,0.5672880686809917,0.6365300983400703,0.5978696108435161,0.5957810228611897,0.6126243530705064,0.5949092492953697,0.08601814363124295,0.10050790437458636,0.09555150354935531,0.09237191310776399
Northern Africa,0.5536700677164118,0.5542838027230639,0.5320421190742435,0.5667311972580987,0.47789041044237196,0.5586948457559563,0.0650250919266437,0.0509373742871341,0.03985401696122225,0.08937745542459957
Western Asia,0.5087755399626562,0.5492776602627739,0.5132019555513042,0.536737961817176,0.4821488734880463,0.5288691904728894,0.019293236844148114,0.012991469109901019,0.016279483023153005,0.015507108014976803
Caribbean,0.509719762178171,0.5220740328484482,0.503188874120729,0.5229354753014596,0.41556058869633633,0.5226137501832204,0.054800728155968315,0.07328705086457886,0.08688892984323074,0.025556203195249733
Northern Europe,0.5863073950799113,0.5074340810043518,0.5316558764579821,0.5609816797007372,0.11893407243176218,0.5547190708000947,0.005385327663290623,0.014557964393722976,0.011574533665627669,0.008266727019332705
Melanesia,0.5171188423490235,0.4209893745227675,0.5396240717807174,0.41026990396489293,0.27778885340608395,0.4672046520903804,0.04570689003183238,0.0562142818226916,0.04420164022693788,0.059264885749573115
Central Asia,0.5146509515814637,0.5334628461884982,0.5147746918337449,0.5322204333042232,0.4520894782846448,0.5274664442210425,0.02624611743824878,0.015479629230437594,0.024566057400724022,0.017207677381737542
Southern Africa,0.5087633680824004,0.4805937637557432,0.5005694539890202,0.4955947289155448,0.5936845826639671,0.4827129475074073,0.12357083579287166,0.13745717084518647,0.12889301056711427,0.13698636681788104
Western Africa,0.5127771335666194,0.5068084457363671,0.4886334687231206,0.5227750773334225,0.46010333611365895,0.5149435276528497,0.05630559582117382,0.10774924231872085,0.0912918644520485,0.07599423983399273
Eastern Europe,0.5132115268223798,0.49800023656370396,0.4639002787619279,0.5355752994007935,0.26659204979500506,0.5190073488466856,0.04751300109581407,0.03552806648008047,0.04644192744526509,0.025329456091429663
Eastern Africa,0.5046384847606314,0.5206388448973397,0.5262572577614681,0.505131769203905,0.47046465668721055,0.5188856911931019,0.10583175988966909,0.14166772610871692,0.12277442773832666,0.12376727012863269
Western Europe,0.6465657080382019,0.5086036173152265,0.6174927646244014,0.565514472921036,0.5727497520860308,0.5849118251240526,0.007566472960267709,0.030219557257229062,0.021223926010265258,0.018038942345563785
Southern Europe,0.5740989125564907,0.5378102272369676,0.4999722880520531,0.5860966410045998,0.4341408139513937,0.5606834954266517,0.040287401390953166,0.060246210406041,0.04753092242895749,0.05254268019200122
