Region,High temp tfp increase,Low temp tfp increase,High precip tfp increase,Low precip tfp increase,Drought tfp increase,No drought tfp increase,Low temp drought,High temp drought,Low precip drought,High precip drought
Middle Africa,"Mean=0.49629550030230807,SD=0.037037790104876074","Mean=0.48325847916808673,SD=0.037324546289189804","Mean=0.4634955774953789,SD=0.04640510312582888","Mean=0.5051306251523122,SD=0.035901333617318315","Mean=0.5841058554311388,SD=0.09887142085148769","Mean=0.4833919409702264,SD=0.029557061286385883","Mean=0.056792862215352104,SD=0.019662874628201123","Mean=0.059630684123445715,SD=0.0205332853787699","Mean=0.07275095690241022,SD=0.02072286495415826","Mean=0.03306677789457546,SD=0.017291428562648054"
Australia and New Zealand,"Mean=0.35948847761428204,SD=0.1649374839772951","Mean=0.7437102410128773,SD=0.1566149685908132","Mean=0.40008763693320815,SD=0.10207025618177197","Mean=0.6697186348328497,SD=0.17523383890832211","Mean=0.5585115187702779,SD=0.19994848479492255","Mean=0.5544589990516808,SD=0.08565791092448166","Mean=0.08348516418233067,SD=0.06545019244282707","Mean=0.12834490089107647,SD=0.07047197913546419","Mean=0.1209771869076185,SD=0.054086688341415085","Mean=0.07927700653616437,SD=0.06190455691964099"
Southern Asia,"Mean=0.5405962769823732,SD=0.044659221641261924","Mean=0.5309669027978209,SD=0.05706107118184394","Mean=0.49200026612727715,SD=0.07977406773418663","Mean=0.5613295962750248,SD=0.0339927718607218","Mean=0.32883943502422014,SD=0.07965765193455197","Mean=0.5576386495170381,SD=0.04467579336462659","Mean=0.0570383867219529,SD=0.020735715583669875","Mean=0.12697958108682303,SD=0.03212515725466981","Mean=0.09964915905943965,SD=0.022920350289374825","Mean=0.07482498668129432,SD=0.026591832194442548"
Northern America,"Mean=0.4898858373915098,SD=0.2053739608583597","Mean=0.5757347070037115,SD=0.1753903497639936","Mean=0.5573744501087801,SD=0.11641330058159409","Mean=0.512457392602054,SD=0.24136534717279534","Mean=0.4786807936641046,SD=0.20757122719704707","Mean=0.5424264895066655,SD=0.10627167943554405","Mean=0.07686138063511479,SD=0.0571571996467446","Mean=0.22298078717148792,SD=0.1028236521991592","Mean=0.15931059167347505,SD=0.07418746134092644","Mean=0.13341823942244702,SD=0.07050454901176166"
South America,"Mean=0.5612912731913721,SD=0.03162865049360539","Mean=0.5542923171373186,SD=0.03731858375301712","Mean=0.5309550172294965,SD=0.05492503423498694","Mean=0.575111876942185,SD=0.02858809940175982","Mean=0.581619145000207,SD=0.06528600106110882","Mean=0.5560548772785631,SD=0.02808574133011114","Mean=0.06228717550313017,SD=0.01903294782456316","Mean=0.13373335715416945,SD=0.02493187022463194","Mean=0.13858494170372643,SD=0.02518940673978264","Mean=0.050391115298649695,SD=0.01674462085901004"
Eastern Asia,"Mean=0.6955706808537764,SD=0.0739952232084362","Mean=0.510016415753011,SD=0.054181691808565045","Mean=0.5328168365497995,SD=0.07478809317397907","Mean=0.6551134199626097,SD=0.05375069883744204","Mean=0.562947009645808,SD=0.10658748701958433","Mean=0.6200893827164882,SD=0.04655445324488632","Mean=0.2109188276385903,SD=0.06682076992448882","Mean=0.11853830608806272,SD=0.03727585068572662","Mean=0.09589288375909438,SD=0.032413161888719975","Mean=0.2748939581735744,SD=0.08808235794915936"
South-eastern Asia,"Mean=0.5695349114621526,SD=0.03534356203062808","Mean=0.5662390298751657,SD=0.03959701816509889","Mean=0.554979618612278,SD=0.05273694126616147","Mean=0.5761208797809492,SD=0.034541371863447815","Mean=0.5142557039789493,SD=0.07671395887580981","Mean=0.5755924571149618,SD=0.02981358628972728","Mean=0.10391669984591353,SD=0.030036230585522607","Mean=0.11457476299861283,SD=0.027139825954815223","Mean=0.1202163157824555,SD=0.026611846411964762","Mean=0.0924145491590244,SD=0.03046393275215491"
Central America,"Mean=0.5634534261602596,SD=0.034928725487661114","Mean=0.6293164990187926,SD=0.0391021075625473","Mean=0.5915396027167034,SD=0.04553085930695935","Mean=0.5912450595900687,SD=0.032792138776908245","Mean=0.6028438483113969,SD=0.08157938183284714","Mean=0.5906692894515969,SD=0.029114490310042054","Mean=0.0859850106740426,SD=0.02692847769531604","Mean=0.10051093099643667,SD=0.025571823254839064","Mean=0.09556244838109045,SD=0.022845386575434747","Mean=0.09231765899972118,SD=0.02938647168184351"
Northern Africa,"Mean=0.550781978686752,SD=0.06161871310766201","Mean=0.5511774185583589,SD=0.053525223161619395","Mean=0.5295034640818719,SD=0.06579567670946365","Mean=0.5634547327640355,SD=0.046768313259143185","Mean=0.47976836846357834,SD=0.12423750896355676","Mean=0.5561210389152781,SD=0.035510083141861805","Mean=0.06500742162311249,SD=0.02924093824072812","Mean=0.050978425990854996,SD=0.02145275199296184","Mean=0.03984008735865612,SD=0.017259316200284515","Mean=0.08918955982201501,SD=0.03705457406125093"
Western Asia,"Mean=0.5077617536322315,SD=0.03187780742174644","Mean=0.5467014774234366,SD=0.028690225983887038","Mean=0.5119973991475476,SD=0.038213269410294855","Mean=0.5347354055101717,SD=0.023481042056837195","Mean=0.48405744700398573,SD=0.14764454391644624","Mean=0.5272978418198294,SD=0.0217528222514889","Mean=0.01928892605581829,SD=0.009624967164381241","Mean=0.012988495744389055,SD=0.007173436102574068","Mean=0.01627888052136117,SD=0.0071219739935802304","Mean=0.015506143951971023,SD=0.008145484493631765"
